"year","month","day","time","tank","temperature"
2016,12,22,1540,22,2.8
2016,12,22,915,23,3.3
2016,12,22,1540,23,2.9
2016,12,22,915,24,3.2
2016,12,22,1540,24,2.9
2016,12,22,915,25,3.1
2016,12,22,1540,25,3
2016,12,22,915,26,3.2
2016,12,22,1540,26,2.9
2016,12,22,915,27,3.2
2016,12,22,1540,27,2.9
2016,12,22,915,28,3.1
2016,12,22,1540,28,2.9
2016,12,22,915,29,3.4
2016,12,22,1540,29,2.9
2016,12,22,915,30,2.9
2016,12,22,1540,30,2.8
2016,12,22,915,31,3
2016,12,22,1540,31,2.9
2016,12,22,915,32,3
2016,12,22,1540,32,3
2016,12,22,915,33,3
2016,12,22,1540,33,3
2016,12,22,915,34,3
2016,12,22,1540,34,3
2016,12,22,915,35,2.9
2016,12,22,1540,35,2.9
2016,12,22,915,36,2.9
2016,12,22,1540,36,2.9
2016,12,23,900,1,3
2016,12,23,900,2,3
2016,12,23,900,3,3.2
2016,12,23,900,4,3
2016,12,23,900,5,3.1
2016,12,23,900,6,3
2016,12,23,900,7,3
2016,12,23,900,8,3
2016,12,23,900,9,3
2016,12,23,900,10,3
2016,12,23,900,11,3
2016,12,23,900,12,2.9
2016,12,23,900,13,3.1
2016,12,23,900,14,3.1
2016,12,23,900,15,3.1
2016,12,23,900,16,3
2016,12,23,900,17,3
2016,12,23,900,18,3.1
2016,12,23,900,19,3
2016,12,23,900,20,2.9
2016,12,23,900,21,3.2
2016,12,23,900,22,3
2016,12,23,900,23,3
2016,12,23,900,24,3
2016,12,23,900,25,3.2
2016,12,23,900,26,3
2016,12,23,900,27,3
2016,12,23,900,28,3
2016,12,23,900,29,3
2016,12,23,900,30,2.9
2016,12,23,900,31,3.1
2016,12,23,900,32,3.1
2016,12,23,900,33,3.1
2016,12,23,900,34,3.1
2016,12,23,900,35,3
2016,12,23,900,36,3
2016,12,24,1215,1,3
2016,12,24,1215,2,3
2016,12,24,1215,3,2.9
2016,12,24,1215,4,2.9
2016,12,24,1215,5,3
2016,12,24,1215,6,2.9
2016,12,24,1215,7,3
2016,12,24,1215,8,3
2016,12,24,1215,9,3.2
2016,12,24,1215,10,3.1
2016,12,24,1215,11,3.1
2016,12,24,1215,12,3
2016,12,24,1215,13,3.1
2016,12,24,1215,14,3.2
2016,12,24,1215,15,3.1
2016,12,24,1215,16,3
2016,12,24,1215,17,3
2016,12,24,1215,18,3.2
2016,12,24,1215,19,3
2016,12,24,1215,20,3
2016,12,24,1215,21,3
2016,12,24,1215,22,3
2016,12,24,1215,23,3.1
2016,12,24,1215,24,3.1
2016,12,24,1215,25,3.1
2016,12,24,1215,26,3.1
2016,12,24,1215,27,3
2016,12,24,1215,28,3.1
2016,12,24,1215,29,3.1
2016,12,24,1215,30,3
2016,12,24,1215,31,3.2
2016,12,24,1215,32,3.3
