year,month,day,time,tank,mmSL,wet_weight_g,wet_liver_g,wet_evis_g,dry_liver_mg,dry_evis_g,mortality,notes
2017,4,2,1000,10,92,4.396,0.005,3.957,0.85,0.769,1,last checked 1/4/2017 at 1600
2017,4,18,900,1,112,9.647,0.007,8.698,1.59,2.056,1,TMS
2017,4,18,930,2,100,6.332,0.003,5.651,0.83,1.017,1,TMS
2017,4,19,1245,1,110,8.185,0.007,7.269,1.21,1.716,1,lasts checked at 845 (4 hour period)
2017,3,21,NA,3,76,2.886,0.001,2.609,0.36,0.423,0,
2017,3,21,NA,3,83,4.09,0.005,3.697,0.72,0.575,0,otolith extracted
2017,3,21,NA,9,78,3.049,0.002,2.765,0.45,0.459,0,
2017,3,21,NA,9,77,2.793,0.004,2.531,0.83,0.405,0,otolith extracted
2017,3,21,NA,9,77,3.458,0.003,3.125,0.63,0.519,0,
2017,3,21,NA,15,69,2.286,0.002,2.02,0.38,0.325,0,otolith extracted
2017,3,21,NA,31,84,4.144,0.004,3.775,0.82,0.603,0,
2017,3,21,NA,31,87,3.902,0.006,3.541,0.74,0.571,0,
2017,3,21,NA,31,85,4.314,0.004,3.987,0.65,0.648,0,otolith extracted
2017,3,21,NA,31,82,3.93,0.007,3.644,1.32,0.587,0,
2017,3,21,NA,31,85,3.8,0.005,3.468,1.05,0.512,0,
2017,3,21,NA,31,79,2.873,0.004,2.607,1.05,0.443,0,
2017,3,25,NA,4,75,4.139,0.005,3.424,0.79,0.621,0,
2017,3,25,NA,4,71,2.473,0.002,2.062,0.53,0.367,0,
2017,3,25,NA,4,76,3.673,0.004,3.114,0.66,0.557,0,
2017,3,25,NA,4,70,3.149,0.001,2.632,0.68,0.507,0,
2017,3,25,NA,4,76,3.966,0.004,3.399,0.75,0.648,0,
2017,3,25,NA,4,73,3.91,0.002,3.193,0.53,0.58,0,
2017,3,25,NA,6,111,9.392,0.008,8.533,1.75,1.495,0,otolith extracted
2017,3,25,NA,6,106,6.511,0.008,5.916,1.46,1.003,0,
2017,3,25,NA,6,105,7.879,0.01,7.196,1.88,1.233,0,
2017,3,25,NA,6,112,8.535,0.009,7.824,2.35,1.328,0,
2017,3,25,NA,11,72,2.193,0.002,1.942,0.74,0.394,0,
2017,3,25,NA,11,77,4.135,0.002,3.568,0.47,0.682,0,
2017,3,25,NA,11,75,3.779,0.004,3.254,0.99,0.608,0,otolith extracted
2017,3,25,NA,11,72,3.669,0.005,3.098,1.18,0.574,0,
2017,3,25,NA,13,83,4.901,0.003,4.151,1.05,0.791,0,otolith extracted
2017,3,25,NA,13,75,3.171,0.003,2.714,0.63,0.535,0,
2017,3,25,NA,13,82,5.122,0.004,4.376,1.08,0.812,0,
2017,3,25,NA,13,84,5.374,0.007,4.618,1.08,0.908,0,
2017,3,25,NA,13,84,6.095,0.006,5.216,1.22,0.892,0,"Injured - cut behind gills, bloody underside"
2017,3,25,NA,13,80,4.918,0.003,4.167,0.69,0.795,0,
2017,3,25,NA,13,89,6.185,0.008,5.168,1.96,0.987,0,
2017,3,25,NA,18,114,8.228,0.007,7.476,1.28,1.251,0,
2017,3,25,NA,18,100,6.412,0.007,5.888,1.59,0.918,0,
2017,3,25,NA,18,106,6.993,0.008,6.379,2.19,1.106,0,otolith extracted
2017,3,25,NA,18,107,6.527,0.004,5.981,1.12,1.084,0,
2017,3,25,NA,18,104,7.332,0.006,6.704,1.97,1.188,0,
2017,3,25,NA,18,105,6.952,0.008,6.315,1.71,1.062,0,
2017,3,25,NA,19,77,4.51,0.002,3.808,0.76,0.704,0,
2017,3,25,NA,19,77,4.359,0.003,3.662,0.63,0.644,0,
2017,3,25,NA,19,82,4.969,0.006,4.26,1.33,0.771,0,
2017,3,25,NA,19,93,7.452,0.004,6.413,1.29,1.197,0,
2017,3,25,NA,19,84,5.652,0.006,4.89,1.02,0.88,0,otolith extracted
2017,3,25,NA,19,88,6.64,0.005,5.698,1.01,1.059,0,
2017,3,25,NA,19,87,7.686,0.009,6.592,1.58,1.222,0,
2017,3,25,NA,24,86,6.234,0.008,5.246,1.29,0.987,0,otolith extracted
2017,3,25,NA,24,88,5.632,0.006,4.946,1.4,0.859,0,
2017,3,25,NA,24,92,7.284,0.009,6.195,1.72,1.187,0,
2017,3,25,NA,24,93,7.125,0.011,6.223,1.94,1.144,0,
2017,3,25,NA,24,85,5.756,0.009,4.946,1.72,0.913,0,
2017,3,25,NA,24,84,5.214,0.006,4.359,1.42,0.799,0,
2017,3,25,NA,25,103,6.209,0.01,5.692,2.52,0.949,0,
2017,3,25,NA,25,104,6.775,0.004,6.2,1.04,1.041,0,
2017,3,25,NA,25,102,6.241,0.007,5.696,1.22,0.98,0,
2017,3,25,NA,25,106,7.186,0.014,6.621,3.65,1.127,0,
2017,3,25,NA,25,104,7.923,0.011,7.122,2.86,1.145,0,otolith extracted
2017,3,25,NA,25,104,7.323,0.007,6.721,1.53,1.12,0,
2017,3,25,NA,25,111,9.336,0.016,8.637,3.31,1.427,0,
2017,3,25,NA,26,77,4.123,0.007,3.494,1.49,0.628,0,
2017,3,25,NA,26,92,7.024,0.007,6.051,1.39,1.069,0,
2017,3,25,NA,26,98,8.974,0.013,7.672,2.83,1.437,0,
2017,3,25,NA,26,84,5.116,0.004,4.385,0.91,0.801,0,
2017,3,25,NA,26,86,4.84,0.006,4.189,1.02,0.747,0,
2017,3,25,NA,26,89,6.467,0.008,5.547,1.67,1.008,0,
2017,3,25,NA,26,87,6.53,0.009,5.465,1.8,1.016,0,otolith extracted
2017,3,25,NA,26,91,7.054,0.007,6.002,1.33,1.162,0,
2017,4,24,NA,1,114,11.063,0.008,9.875,1.98,2.003,0,
2017,4,24,NA,1,133,18.419,0.018,16.243,3.71,3.265,0,
2017,4,24,NA,1,126,17.35,0.02,15.078,3.68,2.985,0,
2017,4,24,NA,1,124,17.675,0.013,15.193,2.49,2.964,0,
2017,4,24,NA,1,126,14.334,0.014,12.776,2.65,2.722,0,otolith extracted
2017,4,24,NA,1,129,18.363,0.023,15.752,4.39,3.048,0,
2017,4,24,NA,1,114,14.295,0.025,12.164,4.61,2.361,0,
2017,4,24,NA,2,108,11.404,0.011,9.982,2.17,1.892,0,
2017,4,24,NA,2,109,11.621,0.008,9.991,1.41,1.922,0,otolith extracted
2017,4,24,NA,2,113,12.86,0.015,11.23,3,2.177,0,
2017,4,24,NA,2,115,13.642,0.023,11.812,4.45,2.285,0,
2017,4,24,NA,2,116,14.027,0.02,12.208,3.79,2.399,0,
2017,4,24,NA,2,111,11.811,0.017,10.135,3.47,1.983,0,
2017,4,24,NA,2,102,9.022,0.012,7.897,2.19,1.477,0,
2017,4,24,NA,2,104,10.165,0.011,8.804,2,1.675,0,
2017,4,24,NA,5,121,17.095,0.013,14.706,2.83,2.848,0,
2017,4,24,NA,5,105,8.615,0.008,7.618,1.61,1.444,0,
2017,4,24,NA,5,103,9.523,0.008,8.274,1.62,1.507,0,
2017,4,24,NA,5,110,12.343,0.011,10.747,2.33,2.099,0,
2017,4,24,NA,5,119,14.908,0.025,12.959,5.18,2.526,0,
2017,4,24,NA,5,112,11.964,0.017,10.315,2.97,2.02,0,otolith extracted
2017,4,24,NA,5,112,10.706,0.008,9.513,1.67,1.758,0,
2017,4,24,NA,5,115,14.353,0.023,12.207,4.35,2.345,0,
2017,4,24,NA,7,78,4.053,0.007,3.453,1.79,0.614,0,
2017,4,24,NA,7,78,4.018,0.003,3.396,0.61,0.655,0,
2017,4,24,NA,7,91,7.251,0.007,6.174,1.35,1.154,0,
2017,4,24,NA,7,86,6.431,0.006,5.439,0.71,1.011,0,
2017,4,24,NA,7,84,4.884,0.006,4.173,1.08,0.815,0,
2017,4,24,NA,7,79,4.588,0.005,3.921,0.78,0.747,0,
2017,4,24,NA,7,80,4.787,0.008,4.092,1.15,0.765,0,otolith extracted
2017,4,24,NA,8,85,4.591,0.004,4.04,0.74,0.712,0,otolith extracted
2017,4,24,NA,8,84,6.201,0.004,5.297,0.76,1.015,0,
2017,4,24,NA,8,80,4.68,0.005,4.013,0.95,0.757,0,
2017,4,24,NA,8,88,7.61,0.006,6.438,1.03,1.239,0,
2017,4,24,NA,8,91,7.116,0.007,6.074,1.58,1.159,0,
2017,4,24,NA,8,82,4.914,0.005,4.188,1.18,0.772,0,
2017,4,24,NA,8,94,7.479,0.012,6.473,2.13,1.227,0,
2017,4,24,NA,10,96,7.369,0.009,6.452,1.51,1.166,0,
2017,4,24,NA,10,109,11.394,0.013,9.6,2.12,1.856,0,
2017,4,24,NA,10,111,10.769,0.009,9.459,1.7,1.83,0,
2017,4,24,NA,10,110,10.167,0.012,8.997,1.81,1.74,0,otolith extracted
2017,4,24,NA,10,108,10.559,0.011,9.149,2.39,1.868,0,
2017,4,24,NA,10,105,10.499,0.014,8.997,3.08,1.73,0,
2017,4,24,NA,10,105,9.943,0.01,8.676,1.98,1.713,0,
2017,4,24,NA,10,114,12.651,0.011,11.018,2.23,2.138,0,
2017,4,24,NA,12,87,6.232,0.009,5.221,1.43,0.99,0,otolith extracted
2017,4,24,NA,12,82,4.809,0.004,4.143,0.73,0.791,0,
2017,4,24,NA,12,78,3.978,0.004,3.323,0.95,0.638,0,
2017,4,24,NA,12,88,6.253,0.004,5.32,0.85,0.998,0,caudal fin missing - potential attack?
2017,4,24,NA,12,84,5.019,0.004,4.357,0.98,0.829,0,
2017,4,24,NA,12,88,6.402,0.009,5.379,1.18,0.984,0,
2017,4,24,NA,12,91,6.92,0.005,5.876,1.32,1.122,0,
2017,4,24,NA,12,82,4.997,0.007,4.105,1.34,0.757,0,
2017,4,24,NA,14,80,4.328,0.005,3.639,0.99,0.661,0,
2017,4,24,NA,14,88,5.591,0.005,4.929,0.97,0.989,0,
2017,4,24,NA,14,79,4.562,0.004,3.846,0.75,0.711,0,
2017,4,24,NA,14,93,7.471,0.012,6.476,2.29,1.232,0,
2017,4,24,NA,14,77,3.426,0.004,2.966,0.8,0.532,0,
2017,4,24,NA,14,83,5.374,0.005,4.507,1.02,0.848,0,otolith extracted
2017,4,24,NA,14,87,5.877,0.008,5.113,1.58,1.004,0,
2017,4,24,NA,16,80,4.453,0.008,3.761,1.23,0.644,0,
2017,4,24,NA,16,85,5.819,0.008,4.804,1.58,0.882,0,
2017,4,24,NA,16,87,6.518,0.008,5.492,1.13,1.011,0,otolith extracted
2017,4,24,NA,16,84,5.232,0.006,4.484,0.94,0.856,0,
2017,4,24,NA,16,87,6.269,0.01,5.425,1.37,1.004,0,
2017,4,24,NA,16,99,8.401,0.006,7.152,1.17,1.311,0,
2017,4,24,NA,17,79,4.117,0.006,3.492,1.05,0.637,0,
2017,4,24,NA,17,82,5.19,0.003,4.515,0.69,0.824,0,
2017,4,24,NA,17,70,2.793,0.003,2.476,0.65,0.438,0,
2017,4,24,NA,17,73,4.241,0.004,3.721,0.59,0.719,0,
2017,4,24,NA,17,77,3.406,0.005,2.945,0.5,0.512,0,
2017,4,24,NA,17,80,4.752,0.004,4.053,0.75,0.752,0,otolith extracted
2017,4,24,NA,17,86,5.56,0.008,4.834,1,0.918,0,
2017,4,24,NA,17,83,5.22,0.007,4.551,0.9,0.874,0,
2017,4,24,NA,20,121,17.431,0.014,14.622,2.97,2.924,0,otolith extracted
2017,4,24,NA,20,110,12.263,0.015,10.656,2.99,2.038,0,
2017,4,24,NA,20,124,18.528,0.019,16.05,3.84,1.141,0,
2017,4,24,NA,20,121,16.743,0.017,14.454,2.59,2.738,0,
2017,4,24,NA,20,115,11.541,0.016,10.244,2.68,1.927,0,
2017,4,24,NA,20,122,15.297,0.027,13.344,4.62,2.501,0,
2017,4,24,NA,20,119,13.95,0.015,12.038,2.74,2.301,0,
