year,month,day,time,tank,mmSL,wet_weight_g,wet_liver_g,wet_evis_g,dry_liver_mg,dry_evis_g,mortality,notes
2017,4,24,NA,32,98,7.389,0.007,6.476,1.32,1.153,0,
2017,4,24,NA,32,115,14.622,0.017,12.382,3.33,2.413,0,
2017,4,24,NA,32,105,9.155,0.008,7.933,1.42,1.429,0,
2017,4,24,NA,32,123,15.96,0.016,13.855,3.29,2.696,0,
2017,4,24,NA,33,94,8.02,0.007,6.911,1.23,1.347,0,
2017,4,24,NA,33,98,8.879,0.006,7.653,1.68,1.495,0,
2017,4,24,NA,33,86,5.452,0.003,4.652,0.76,0.878,0,
2017,4,24,NA,33,91,6.885,0.008,5.766,1.16,1.069,0,
2017,4,24,NA,33,92,5.793,0.007,5.186,1.27,0.955,0,
2017,4,24,NA,33,91,6.664,0.008,5.767,1.84,1.064,0,
2017,4,24,NA,33,98,9.296,0.005,7.882,1.32,1.467,0,
2017,4,24,NA,33,87,5.432,0.005,4.644,1.02,0.868,0,
2017,4,24,NA,33,96,8.123,0.009,6.996,1.95,1.356,0,
2017,4,24,NA,34,128,18.264,0.026,15.985,4.97,2.238,0,
2017,4,24,NA,34,122,17.524,0.019,14.931,3.59,2.972,0,
2017,4,24,NA,34,117,15.253,0.019,13.33,3.43,2.629,0,
2017,4,24,NA,34,110,9.056,0.009,7.914,1.05,1.385,0,
2017,4,24,NA,34,120,16.07,0.013,13.842,2.21,2.701,0,
2017,4,24,NA,34,125,17.511,0.019,15.184,3.17,3.014,0,
2017,4,24,NA,34,120,15.928,0.017,13.732,3.31,2.678,0,
2017,4,24,NA,34,124,16.555,0.015,14.215,2.09,2.801,0,
2017,4,24,NA,34,115,13.05,0.006,11.235,1.6,2.094,0,
2017,4,24,NA,36,131,19.965,0.013,17.116,1.16,3.417,0,
2017,4,24,NA,36,117,12.572,0.014,11.006,2.25,2.192,0,
2017,4,24,NA,36,133,21.747,0.023,18.997,4.27,3.845,0,
2017,4,24,NA,36,122,16.817,0.015,14.621,2.77,2.876,0,
2017,4,24,NA,36,125,17.829,0.02,15.49,3.34,2.986,0,
2017,4,24,NA,36,130,19.904,0.018,17.242,3.3,3.481,0,
2017,4,24,NA,36,120,14.382,0.015,12.405,3.13,2.391,0,
2017,4,24,NA,36,115,13.281,0.014,11.643,2.31,2.267,0,
2017,4,24,NA,36,121,16.638,0.014,14.515,2.47,2.926,0,
